price_date,open_price,day_high
2019-12-20,3223.330078,3225.649902
2019-12-23,3226.050049,3227.780029
2019-12-24,3225.449951,3226.429932
2019-12-26,3227.199951,3240.080078
2019-12-27,3247.22998,3247.929932
2019-12-30,3240.090088,3240.919922
2019-12-31,3215.179932,3231.719971
2020-01-02,3244.669922,3258.139893
2020-01-03,3226.360107,3246.149902
2020-01-06,3217.550049,3246.840088
2020-01-07,3241.860107,3244.909912
2020-01-08,3238.590088,3267.070068
2020-01-09,3266.030029,3275.580078
2020-01-10,3281.810059,3282.98999
2020-01-13,3271.129883,3288.129883
2020-01-14,3285.350098,3294.25
2020-01-15,3282.27002,3298.659912
2020-01-16,3302.969971,3317.110107
2020-01-17,3323.659912,3329.879883
2020-01-21,3321.030029,3329.790039
2020-01-22,3330.02002,3337.77002
2020-01-23,3315.77002,3326.879883
2020-01-24,3333.100098,3333.179932
2020-01-27,3247.159912,3258.850098
2020-01-28,3255.350098,3285.780029
2020-01-29,3289.459961,3293.469971
2020-01-30,3256.449951,3285.909912
2020-01-31,3282.330078,3282.330078
2020-02-03,3235.659912,3268.439941
2020-02-04,3280.610107,3306.919922
2020-02-05,3324.909912,3337.580078
2020-02-06,3344.919922,3347.959961
2020-02-07,3335.540039,3341.419922
2020-02-10,3318.280029,3352.26001
2020-02-11,3365.870117,3375.629883
2020-02-12,3370.5,3381.469971
2020-02-13,3365.899902,3385.090088
2020-02-14,3378.080078,3380.689941
2020-02-18,3369.040039,3375.01001
2020-02-19,3380.389893,3393.52002
2020-02-20,3380.449951,3389.149902
2020-02-21,3360.5,3360.76001
2020-02-24,3257.610107,3259.810059
2020-02-25,3238.939941,3246.98999
2020-02-26,3139.899902,3182.51001
2020-02-27,3062.540039,3097.070068
2020-02-28,2916.899902,2959.719971
2020-03-02,2974.280029,3090.959961
2020-03-03,3096.459961,3136.719971
2020-03-04,3045.75,3130.969971
2020-03-05,3075.699951,3083.040039
2020-03-06,2954.199951,2985.929932
2020-03-09,2863.889893,2863.889893
2020-03-10,2813.47998,2882.590088
2020-03-11,2825.600098,2825.600098
2020-03-12,2630.860107,2660.949951
2020-03-13,2569.98999,2711.330078
2020-03-16,2508.590088,2562.97998
2020-03-17,2425.659912,2553.929932
2020-03-18,2436.5,2453.570068
2020-03-19,2393.47998,2466.969971
2020-03-20,2431.939941,2453.01001
2020-03-23,2290.709961,2300.72998
2020-03-24,2344.439941,2449.709961
2020-03-25,2457.77002,2571.419922
2020-03-26,2501.290039,2637.01001
2020-03-27,2555.870117,2615.909912
2020-03-30,2558.97998,2631.800049
